# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep1_tags
#
# total peaks = 11103
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 160
# genome size = 2000000000
# Total tags = 25256038.0
# Total tags in peaks = 1060916.0
# Approximate IP efficiency = 4.20%
# tags per bp = 0.001100
# expected tags per peak = 0.330
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.331788e-08
# FDR tag threshold = 7.0
# number of putative peaks = 13440
#
# input tag directory = INPUT_rep1_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 2187
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 143
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 7
#
# cmd = findPeaks IP_rep1_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep1_tags -o IP_rep1_vs_INPUT_rep1_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr17-2	chr17	61231058	61231358	+	432.8	0.782	104.000000	966.9	76.0	12.72	0.00e+00	18.17	0.00e+00	0.81
chr2-1	chr2	11498574	11498874	+	426.8	0.980	89.000000	953.6	1.0	953.59	0.00e+00	319.77	0.00e+00	0.91
chr17-1	chr17	61411671	61411971	+	418.5	0.705	108.000000	935.0	124.0	7.54	0.00e+00	6.16	0.00e+00	0.74
chr3-2	chr3	170221988	170222288	+	384.9	0.872	79.000000	859.8	7.0	122.83	0.00e+00	98.83	0.00e+00	0.97
chr9-1	chr9	15510965	15511265	+	333.8	0.930	69.000000	745.7	5.0	149.14	0.00e+00	218.06	0.00e+00	0.95
chr12-1	chr12	66169863	66170163	+	331.0	0.871	72.000000	739.5	6.0	123.25	0.00e+00	68.61	0.00e+00	0.90
chr17-8	chr17	57850010	57850310	+	304.9	0.945	58.000000	681.1	6.0	113.52	0.00e+00	87.36	0.00e+00	1.06
chr8-2	chr8	144078402	144078702	+	297.8	0.882	60.000000	665.2	10.0	66.52	0.00e+00	88.10	0.00e+00	0.98
chr20-7	chr20	45972108	45972408	+	294.6	0.828	62.000000	658.1	6.0	109.69	0.00e+00	62.48	0.00e+00	0.93
chr20-6	chr20	53725254	53725554	+	293.8	0.597	69.000000	656.4	145.0	4.53	1.56e-210	5.78	1.90e-301	0.85
chr15-3	chr15	70892378	70892678	+	274.4	0.898	59.000000	613.0	7.0	87.57	0.00e+00	228.64	0.00e+00	0.94
chr17-6	chr17	61863355	61863655	+	263.3	0.765	70.000000	588.3	145.0	4.06	1.67e-167	15.49	0.00e+00	0.74
chr21-1	chr21	15210263	15210563	+	257.0	0.900	50.000000	574.1	1.0	574.10	0.00e+00	197.97	0.00e+00	1.04
chr20-8	chr20	54207749	54208049	+	255.0	0.742	56.000000	569.7	75.0	7.60	1.19e-288	15.11	0.00e+00	0.98
chr5-4	chr5	178124251	178124551	+	253.8	0.902	47.000000	567.0	13.0	43.62	0.00e+00	41.95	0.00e+00	1.07
chr3-4	chr3	193872389	193872689	+	247.1	0.973	44.000000	552.0	6.0	92.00	0.00e+00	112.72	0.00e+00	1.15
chr20-5	chr20	50790710	50791010	+	246.3	0.824	70.000000	550.2	120.0	4.59	2.72e-179	7.20	4.83e-303	0.77
chr6-1	chr6	27241488	27241788	+	239.9	0.963	46.000000	536.1	4.0	134.02	0.00e+00	123.23	0.00e+00	1.09
chr1-3	chr1	35268591	35268891	+	239.5	0.995	63.000000	535.2	2.0	267.59	0.00e+00	264.35	0.00e+00	0.76
chr1-4	chr1	114757953	114758253	+	239.5	0.863	55.000000	535.2	18.0	29.73	0.00e+00	36.36	0.00e+00	0.90
chr3-3	chr3	64023416	64023716	+	238.8	0.711	56.000000	533.4	121.0	4.41	1.14e-166	15.13	0.00e+00	0.87
chr1-5	chr1	234373461	234373761	+	236.0	0.892	50.000000	527.2	6.0	87.87	0.00e+00	72.99	0.00e+00	0.94
chr14-3	chr14	93045105	93045405	+	234.0	0.975	44.000000	522.8	7.0	74.68	0.00e+00	22.67	0.00e+00	1.07
chr17-12	chr17	59846325	59846625	+	232.4	0.714	40.000000	519.3	52.0	9.99	3.45e-318	7.46	5.28e-294	1.20
chr20-16	chr20	53869781	53870081	+	229.6	0.879	43.000000	513.1	159.0	3.23	1.49e-109	9.47	0.00e+00	1.07
chr21-2	chr21	42376384	42376684	+	226.5	0.901	46.000000	506.0	4.0	126.50	0.00e+00	68.25	0.00e+00	0.98
chr20-43	chr20	50434594	50434894	+	222.9	0.877	30.000000	498.0	5.0	99.61	0.00e+00	36.55	0.00e+00	1.51
chr17-10	chr17	61416819	61417119	+	220.5	0.796	42.000000	492.7	150.0	3.28	1.35e-107	4.10	1.07e-160	1.08
chr20-11	chr20	47357391	47357691	+	217.4	0.702	47.000000	485.6	121.0	4.01	1.08e-136	5.38	2.10e-209	0.95
chr20-15	chr20	48075780	48076080	+	216.6	0.771	44.000000	483.9	23.0	21.04	0.00e+00	17.81	0.00e+00	0.99
chr15-4	chr15	75368387	75368687	+	213.0	0.847	53.000000	475.9	4.0	118.98	0.00e+00	40.93	0.00e+00	0.82
chr17-5	chr17	50944458	50944758	+	212.6	0.828	73.000000	475.0	8.0	59.38	0.00e+00	32.95	0.00e+00	0.59
chr20-12	chr20	54649477	54649777	+	212.6	0.821	46.000000	475.0	63.0	7.54	3.24e-240	14.12	0.00e+00	0.99
chr20-9	chr20	53908741	53909041	+	211.0	0.677	48.000000	471.5	122.0	3.86	4.42e-127	7.36	2.56e-264	0.95
chr17-7	chr17	60392159	60392459	+	207.1	0.764	61.000000	462.6	69.0	6.70	3.16e-213	10.62	0.00e+00	0.70
chr8-3	chr8	127668853	127669153	+	206.7	0.815	53.000000	461.8	12.0	38.48	0.00e+00	40.00	0.00e+00	0.84
chr20-13	chr20	44714643	44714943	+	202.7	0.809	44.000000	452.9	5.0	90.58	0.00e+00	44.74	0.00e+00	0.93
chr20-4	chr20	50731173	50731473	+	199.2	0.711	74.000000	444.9	115.0	3.87	6.33e-120	5.21	2.68e-186	0.57
chr1-6	chr1	117268954	117269254	+	198.8	0.952	49.000000	444.1	12.0	37.01	0.00e+00	69.07	0.00e+00	0.87
chr1-12	chr1	157132154	157132454	+	198.8	0.922	36.000000	444.1	6.0	74.01	0.00e+00	87.27	0.00e+00	1.15
chr3-7	chr3	129485740	129486040	+	196.8	0.883	40.000000	439.6	3.0	146.55	0.00e+00	77.63	0.00e+00	1.03
chr9-3	chr9	134412409	134412709	+	195.2	0.998	37.000000	436.1	8.0	54.51	0.00e+00	45.94	0.00e+00	1.06
chr1-7	chr1	151909540	151909840	+	194.8	0.903	46.000000	435.2	12.0	36.27	0.00e+00	57.22	0.00e+00	0.89
chr9-2	chr9	128298980	128299280	+	193.6	0.896	46.000000	432.6	7.0	61.80	0.00e+00	22.85	0.00e+00	0.85
chr16-4	chr16	327325	327625	+	192.0	0.814	45.000000	429.0	10.0	42.90	0.00e+00	25.71	0.00e+00	0.93
chr14-4	chr14	67311976	67312276	+	191.6	0.974	34.000000	428.1	2.0	214.07	0.00e+00	143.57	0.00e+00	1.19
chr2-4	chr2	64866852	64867152	+	191.2	0.931	33.000000	427.3	4.0	106.81	0.00e+00	197.68	0.00e+00	1.27
chr17-26	chr17	60139849	60140149	+	190.8	0.730	33.000000	426.4	65.0	6.56	2.05e-193	7.29	1.60e-237	1.16
chr20-25	chr20	54123591	54123891	+	190.4	0.701	36.000000	425.5	99.0	4.30	1.15e-129	9.94	2.33e-294	1.10
chr11-1	chr11	68213748	68214048	+	187.7	0.886	56.000000	419.3	8.0	52.41	0.00e+00	44.81	0.00e+00	0.71
chr8-4	chr8	123396459	123396759	+	186.5	0.789	51.000000	416.6	11.0	37.88	0.00e+00	33.03	0.00e+00	0.77
chr7-2	chr7	101729415	101729715	+	186.1	0.881	33.000000	415.8	7.0	59.39	0.00e+00	126.64	0.00e+00	1.14
chr20-53	chr20	50440840	50441140	+	185.3	0.906	28.000000	414.0	11.0	37.64	0.00e+00	31.86	0.00e+00	1.34
chr16-3	chr16	71808791	71809091	+	184.9	0.876	56.000000	413.1	5.0	82.62	0.00e+00	54.12	0.00e+00	0.69
chr20-35	chr20	47453496	47453796	+	184.9	0.759	32.000000	413.1	91.0	4.54	8.71e-134	5.15	2.40e-171	1.17
chr20-32	chr20	53786867	53787167	+	184.9	0.709	33.000000	413.1	162.0	2.55	4.55e-61	4.71	6.03e-157	1.17
chr17-36	chr17	76252066	76252366	+	182.9	0.907	28.000000	408.7	5.0	81.74	0.00e+00	123.45	0.00e+00	1.34
chr16-6	chr16	85521038	85521338	+	181.7	0.829	45.000000	406.0	8.0	50.75	0.00e+00	12.13	4.45e-317	0.83
chr3-6	chr3	64331673	64331973	+	180.9	0.890	43.000000	404.3	50.0	8.09	3.17e-215	19.29	0.00e+00	0.92
chr20-29	chr20	47432563	47432863	+	180.9	0.779	33.000000	404.3	101.0	4.00	6.04e-114	4.95	2.58e-161	1.14
chr20-27	chr20	47455294	47455594	+	180.9	0.755	34.000000	404.3	83.0	4.87	1.37e-140	5.55	7.98e-180	1.11
chr3-5	chr3	194003086	194003386	+	179.8	0.734	44.000000	401.6	6.0	66.93	0.00e+00	45.45	0.00e+00	0.87
chr5-2	chr5	178081569	178081869	+	178.2	0.901	55.000000	398.1	7.0	56.87	0.00e+00	7.70	3.16e-231	0.67
chr3-8	chr3	37782594	37782894	+	175.8	0.875	35.000000	392.8	2.0	196.38	0.00e+00	97.66	0.00e+00	1.08
chr20-36	chr20	47792133	47792433	+	175.4	0.858	32.000000	391.9	40.0	9.80	4.50e-237	10.25	1.84e-276	1.19
chr20-47	chr20	54456495	54456795	+	174.6	0.947	30.000000	390.1	43.0	9.07	3.92e-225	16.37	0.00e+00	1.23
chr8-13	chr8	143936458	143936758	+	173.8	0.939	27.000000	388.3	9.0	43.15	0.00e+00	31.06	0.00e+00	1.37
chr20-17	chr20	47663793	47664093	+	173.8	0.884	40.000000	388.3	75.0	5.18	2.46e-143	7.34	1.21e-217	0.94
chr20-10	chr20	57266703	57267003	+	173.8	0.737	48.000000	388.3	171.0	2.27	5.43e-46	2.04	7.14e-41	0.76
chr1-11	chr1	207321398	207321698	+	173.4	0.938	37.000000	387.5	4.0	96.86	0.00e+00	86.35	0.00e+00	1.02
chr8-5	chr8	94640350	94640650	+	171.8	0.904	48.000000	383.9	16.0	23.99	0.00e+00	17.67	0.00e+00	0.73
chr12-3	chr12	131860835	131861135	+	170.3	0.904	34.000000	380.4	8.0	47.55	0.00e+00	33.50	0.00e+00	1.09
chr1-20	chr1	109240131	109240431	+	169.5	0.947	30.000000	378.6	7.0	54.09	0.00e+00	45.52	0.00e+00	1.16
chr3-11	chr3	9362938	9363238	+	169.5	0.906	33.000000	378.6	14.0	27.04	0.00e+00	157.26	0.00e+00	1.12
chr14-9	chr14	96095829	96096129	+	167.9	0.998	30.000000	375.1	9.0	41.67	0.00e+00	66.23	0.00e+00	1.21
chr17-16	chr17	58692397	58692697	+	167.9	0.764	37.000000	375.1	71.0	5.28	2.46e-141	10.63	8.69e-271	0.94
chr17-18	chr17	61467577	61467877	+	167.9	0.682	37.000000	375.1	109.0	3.44	5.73e-88	5.07	1.68e-153	0.92
chr1-19	chr1	7447826	7448126	+	167.1	0.933	31.000000	373.3	3.0	124.43	0.00e+00	51.88	0.00e+00	1.13
chr1-18	chr1	163321687	163321987	+	167.1	0.962	32.000000	373.3	5.0	74.66	0.00e+00	104.96	0.00e+00	1.06
chr14-1	chr14	90383249	90383549	+	166.7	0.772	47.000000	372.4	9.0	41.38	0.00e+00	71.64	0.00e+00	0.77
chr15-5	chr15	72231180	72231480	+	166.3	0.863	44.000000	371.5	10.0	37.15	0.00e+00	38.91	0.00e+00	0.79
chr10-1	chr10	5496647	5496947	+	165.5	0.897	42.000000	369.8	5.0	73.95	0.00e+00	34.92	0.00e+00	0.85
chr14-2	chr14	69191343	69191643	+	164.7	0.915	44.000000	368.0	7.0	52.57	0.00e+00	71.93	0.00e+00	0.85
chr20-14	chr20	47501831	47502131	+	164.3	0.592	44.000000	367.1	93.0	3.95	4.39e-102	3.96	1.19e-115	0.85
chr1-10	chr1	145708213	145708513	+	163.1	0.847	37.000000	364.5	7.0	52.06	0.00e+00	28.40	0.00e+00	0.92
chr14-5	chr14	91127431	91127731	+	161.5	0.998	32.000000	360.9	4.0	90.23	0.00e+00	45.33	0.00e+00	1.07
chr2-2	chr2	11539626	11539926	+	161.1	0.935	52.000000	360.0	4.0	90.01	0.00e+00	55.53	0.00e+00	0.64
chr16-8	chr16	1971891	1972191	+	161.1	0.962	35.000000	360.0	6.0	60.00	0.00e+00	40.12	0.00e+00	0.95
chr20-42	chr20	47384080	47384380	+	160.4	0.799	30.000000	358.3	109.0	3.29	5.35e-79	5.73	3.15e-164	1.10
chr20-51	chr20	47565369	47565669	+	160.4	0.723	28.000000	358.3	56.0	6.40	1.31e-159	9.34	2.57e-238	1.18
chr20-60	chr20	56735295	56735595	+	160.4	0.917	28.000000	358.3	17.0	21.07	0.00e+00	36.78	0.00e+00	1.23
chr3-14	chr3	10594885	10595185	+	160.0	0.914	25.000000	357.4	9.0	39.71	0.00e+00	97.48	0.00e+00	1.32
chr8-7	chr8	127800749	127801049	+	159.2	0.983	35.000000	355.6	20.0	17.78	2.37e-300	34.85	0.00e+00	0.95
chr20-26	chr20	47204367	47204667	+	159.2	0.780	34.000000	355.6	94.0	3.78	8.69e-94	4.91	3.97e-141	0.97
chr3-12	chr3	157174867	157175167	+	158.8	0.912	32.000000	354.7	8.0	44.34	0.00e+00	66.83	0.00e+00	1.07
chr16-13	chr16	25258100	25258400	+	158.0	0.941	33.000000	353.0	10.0	35.30	0.00e+00	44.80	0.00e+00	1.04
chr5-3	chr5	96935045	96935345	+	157.6	0.891	47.000000	352.1	5.0	70.41	0.00e+00	33.78	0.00e+00	0.70
chr16-11	chr16	10944295	10944595	+	156.8	0.838	34.000000	350.3	11.0	31.85	0.00e+00	42.54	0.00e+00	0.98
chr20-34	chr20	24746429	24746729	+	155.2	0.877	32.000000	346.8	8.0	43.34	0.00e+00	65.67	0.00e+00	1.01
chr1-17	chr1	152392916	152393216	+	154.0	0.849	32.000000	344.1	5.0	68.82	0.00e+00	44.60	0.00e+00	1.01
chr1-25	chr1	24203495	24203795	+	153.6	0.964	25.000000	343.2	3.0	114.41	0.00e+00	125.45	0.00e+00	1.25
chr11-6	chr11	68380413	68380713	+	153.2	0.850	26.000000	342.3	6.0	57.06	0.00e+00	73.61	0.00e+00	1.25
chr2-3	chr2	203238716	203239016	+	152.8	0.903	35.000000	341.5	7.0	48.78	0.00e+00	84.90	0.00e+00	0.89
chr16-19	chr16	85465992	85466292	+	151.6	0.898	27.000000	338.8	7.0	48.40	0.00e+00	22.72	0.00e+00	1.16
chr9-4	chr9	135392490	135392790	+	151.3	0.737	35.000000	337.9	6.0	56.32	0.00e+00	21.04	0.00e+00	0.89
chr20-39	chr20	53738549	53738849	+	151.3	0.750	31.000000	337.9	175.0	1.93	1.26e-27	4.44	3.72e-121	1.01
chr7-4	chr7	103344673	103344973	+	150.9	0.997	30.000000	337.0	2.0	168.51	0.00e+00	41.76	0.00e+00	1.04
chr9-7	chr9	127561823	127562123	+	150.9	0.922	29.000000	337.0	6.0	56.17	0.00e+00	48.12	0.00e+00	1.12
chr19-4	chr19	34734048	34734348	+	150.1	0.948	27.000000	335.3	2.0	167.63	0.00e+00	82.24	0.00e+00	1.20
chr16-12	chr16	11612378	11612678	+	149.7	0.868	33.000000	334.4	3.0	111.46	0.00e+00	40.88	0.00e+00	0.95
chr21-5	chr21	41783530	41783830	+	149.3	0.931	26.000000	333.5	8.0	41.69	0.00e+00	42.18	0.00e+00	1.17
chr20-52	chr20	48864770	48865070	+	148.5	0.916	28.000000	331.7	27.0	12.29	1.32e-230	29.36	0.00e+00	1.09
chr8-6	chr8	94719639	94719939	+	148.1	0.945	46.000000	330.8	7.0	47.26	0.00e+00	98.31	0.00e+00	0.66
chr8-9	chr8	124474564	124474864	+	148.1	0.868	30.000000	330.8	15.0	22.06	1.46e-308	43.81	0.00e+00	1.01
chr12-7	chr12	116503217	116503517	+	148.1	0.835	26.000000	330.8	3.0	110.28	0.00e+00	55.47	0.00e+00	1.22
chr3-10	chr3	49133592	49133892	+	147.7	0.811	34.000000	330.0	2.0	164.98	0.00e+00	24.27	0.00e+00	0.92
chr17-20	chr17	61235919	61236219	+	147.7	0.865	36.000000	330.0	87.0	3.79	3.30e-87	4.19	6.17e-111	0.89
chr20-59	chr20	54085143	54085443	+	147.3	0.667	28.000000	329.1	63.0	5.22	6.05e-123	6.84	5.27e-175	1.13
chr20-48	chr20	53661889	53662189	+	146.9	0.850	29.000000	328.2	108.0	3.04	6.55e-65	3.69	2.54e-95	1.09
chr20-141	chr20	57251161	57251461	+	145.7	0.699	22.000000	325.5	133.0	2.45	7.02e-45	4.26	1.29e-111	1.52
chr20-46	chr20	53915570	53915870	+	144.9	0.600	30.000000	323.8	106.0	3.05	2.89e-64	5.25	2.44e-137	1.02
chr16-22	chr16	88763569	88763869	+	144.5	0.921	25.000000	322.9	8.0	40.36	0.00e+00	14.72	7.24e-281	1.18
chr1-37	chr1	205947044	205947344	+	144.1	0.992	21.000000	322.0	4.0	80.50	0.00e+00	39.10	0.00e+00	1.40
chr20-145	chr20	57270233	57270533	+	143.7	0.893	22.000000	321.1	124.0	2.59	3.27e-49	2.86	2.52e-65	1.40
chr2-11	chr2	10487202	10487502	+	142.9	0.913	22.000000	319.3	3.0	106.45	0.00e+00	38.78	0.00e+00	1.47
chr5-11	chr5	67207005	67207305	+	142.9	0.997	22.000000	319.3	2.0	159.67	0.00e+00	147.75	0.00e+00	1.34
chr20-124	chr20	53615380	53615680	+	142.9	0.794	22.000000	319.3	123.0	2.60	4.48e-49	4.23	9.65e-109	1.34
chr7-1	chr7	47575999	47576299	+	142.5	0.911	34.000000	318.5	6.0	53.08	0.00e+00	83.74	0.00e+00	0.87
chr11-2	chr11	47355235	47355535	+	142.1	0.968	30.000000	317.6	8.0	39.70	0.00e+00	52.76	0.00e+00	0.98
chr14-12	chr14	93043525	93043825	+	141.4	0.997	24.000000	315.8	7.0	45.11	0.00e+00	10.12	1.95e-221	1.28
chr16-10	chr16	85458999	85459299	+	141.0	0.947	35.000000	314.9	12.0	26.24	2.25e-316	22.39	0.00e+00	0.87
chr20-22	chr20	53592643	53592943	+	140.6	0.705	37.000000	314.0	140.0	2.24	1.05e-36	5.74	1.84e-144	0.79
chr2-5	chr2	11531004	11531304	+	140.2	0.899	30.000000	313.1	4.0	78.29	0.00e+00	32.70	0.00e+00	0.99
chr20-68	chr20	53839516	53839816	+	139.4	0.769	27.000000	311.4	127.0	2.45	3.35e-43	5.85	1.61e-145	1.19
chr5-6	chr5	1555473	1555773	+	138.6	0.914	30.000000	309.6	7.0	44.23	0.00e+00	46.00	0.00e+00	0.99
chr17-22	chr17	58518140	58518440	+	138.6	0.767	34.000000	309.6	10.0	30.96	0.00e+00	22.15	0.00e+00	0.87
chr20-58	chr20	53786114	53786414	+	138.6	0.812	28.000000	309.6	145.0	2.14	2.08e-32	3.44	4.35e-82	1.02
chr6-6	chr6	36122149	36122449	+	138.2	0.830	24.000000	308.7	3.0	102.91	0.00e+00	45.87	0.00e+00	1.19
chr14-7	chr14	92040009	92040309	+	138.2	0.975	31.000000	308.7	8.0	38.59	0.00e+00	113.98	0.00e+00	0.99
chr20-69	chr20	54195435	54195735	+	137.8	0.876	27.000000	307.8	102.0	3.02	4.47e-60	7.20	1.32e-170	1.10
chr9-9	chr9	92152084	92152384	+	137.4	0.963	28.000000	307.0	6.0	51.16	0.00e+00	38.03	0.00e+00	1.02
chr7-3	chr7	47979431	47979731	+	137.0	0.886	30.000000	306.1	3.0	102.02	0.00e+00	92.46	0.00e+00	0.99
chr1-14	chr1	113812146	113812446	+	136.6	0.615	33.000000	305.2	34.0	8.98	3.11e-175	19.04	7.30e-302	0.89
chr12-4	chr12	53676179	53676479	+	135.8	0.805	32.000000	303.4	8.0	37.93	0.00e+00	59.31	0.00e+00	0.89
chr8-8	chr8	89984488	89984788	+	135.0	0.837	32.000000	301.6	14.0	21.55	9.13e-279	41.14	0.00e+00	0.92
chr10-4	chr10	101353759	101354059	+	134.6	0.948	21.000000	300.8	3.0	100.25	0.00e+00	106.73	0.00e+00	1.38
chr4-1	chr4	77076060	77076360	+	133.8	0.908	34.000000	299.0	2.0	149.50	0.00e+00	115.04	0.00e+00	0.81
chr17-19	chr17	63842587	63842887	+	133.8	0.830	37.000000	299.0	4.0	74.75	0.00e+00	18.49	9.43e-292	0.77
chr20-19	chr20	53727100	53727400	+	133.4	0.779	40.000000	298.1	146.0	2.04	2.12e-28	2.38	2.81e-44	0.73
chr17-33	chr17	51120929	51121229	+	133.0	0.959	29.000000	297.2	1.0	297.22	0.00e+00	43.63	0.00e+00	0.99
chr17-34	chr17	59619681	59619981	+	133.0	0.807	29.000000	297.2	19.0	15.64	3.22e-236	34.71	0.00e+00	0.95
chr17-47	chr17	61555249	61555549	+	133.0	0.853	25.000000	297.2	116.0	2.56	8.33e-45	5.66	5.19e-135	1.15
chr17-59	chr17	61845888	61846188	+	133.0	0.861	23.000000	297.2	111.0	2.68	2.50e-48	6.49	8.66e-152	1.32
chr1-8	chr1	114511153	114511453	+	132.2	0.763	41.000000	295.5	33.0	8.95	3.69e-169	22.69	1.53e-316	0.75
chr3-13	chr3	63940418	63940718	+	131.8	0.788	27.000000	294.6	15.0	19.64	4.31e-261	10.88	3.66e-216	1.06
chr9-13	chr9	136546137	136546437	+	131.8	0.910	23.000000	294.6	5.0	58.91	0.00e+00	29.18	0.00e+00	1.20
chr20-79	chr20	57435834	57436134	+	131.8	0.742	26.000000	294.6	13.0	22.66	1.69e-278	14.09	1.29e-250	1.11
chr6-2	chr6	30742826	30743126	+	131.5	0.869	30.000000	293.7	7.0	41.95	0.00e+00	35.78	0.00e+00	0.92
chr21-4	chr21	41536374	41536674	+	131.5	0.906	29.000000	293.7	9.0	32.63	3.31e-322	73.53	0.00e+00	0.96
chr17-15	chr17	59106488	59106788	+	130.7	0.560	38.000000	291.9	59.0	4.95	3.53e-103	5.89	2.31e-137	0.74
chr16-24	chr16	18801646	18801946	+	129.9	0.610	24.000000	290.1	12.0	24.18	9.75e-283	25.01	4.94e-324	1.22
chr12-9	chr12	48852093	48852393	+	129.1	0.985	24.000000	288.4	4.0	72.09	0.00e+00	68.00	0.00e+00	1.12
chr20-62	chr20	48697821	48698121	+	129.1	0.713	27.000000	288.4	40.0	7.21	1.69e-141	10.34	3.10e-205	0.99
chr3-29	chr3	50359529	50359829	+	128.7	0.962	21.000000	287.5	4.0	71.87	0.00e+00	52.81	0.00e+00	1.28
chr9-5	chr9	137513956	137514256	+	128.7	0.761	35.000000	287.5	16.0	17.97	1.82e-244	21.19	7.63e-299	0.77
chr16-16	chr16	690325	690625	+	128.3	0.997	29.000000	286.6	9.0	31.85	1.20e-311	26.00	0.00e+00	0.96
chr20-232	chr20	47231448	47231748	+	128.3	0.775	18.000000	286.6	69.0	4.15	1.33e-84	4.84	1.67e-112	1.58
chr20-176	chr20	50796020	50796320	+	128.3	0.902	20.000000	286.6	92.0	3.12	8.24e-59	3.79	4.13e-86	1.41
chr7-25	chr7	72326406	72326706	+	127.9	0.950	16.000000	285.7	2.0	142.86	0.00e+00	54.68	0.00e+00	1.67
chr17-99	chr17	61556336	61556636	+	127.9	0.825	19.000000	285.7	99.0	2.89	2.89e-52	5.34	2.90e-123	1.41
chr20-33	chr20	57218555	57218855	+	127.5	0.641	33.000000	284.8	168.0	1.70	2.41e-16	3.38	4.78e-74	0.89
chr5-7	chr5	139638339	139638639	+	127.1	0.941	25.000000	284.0	7.0	40.56	0.00e+00	23.91	2.47e-311	1.03
chr15-6	chr15	64387639	64387939	+	125.9	0.987	33.000000	281.3	5.0	56.26	0.00e+00	62.32	0.00e+00	0.78
chr20-136	chr20	54070635	54070935	+	125.9	0.605	22.000000	281.3	94.0	2.99	1.34e-54	4.71	1.30e-107	1.18
chr20-227	chr20	57160277	57160577	+	125.9	0.696	19.000000	281.3	96.0	2.93	6.81e-53	3.61	8.69e-80	1.36
