# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep2_tags
#
# total peaks = 17988
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 158
# genome size = 2000000000
# Total tags = 25730812.0
# Total tags in peaks = 1107194.0
# Approximate IP efficiency = 4.30%
# tags per bp = 0.003174
# expected tags per peak = 0.952
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.556326e-07
# FDR tag threshold = 9.0
# number of putative peaks = 30501
#
# input tag directory = INPUT_rep2_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 12098
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 414
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks IP_rep2_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep2_tags -o IP_rep2_vs_INPUT_rep2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr20-3	chr20	47501769	47502069	+	296.5	0.730	200.000000	209.2	38.0	5.51	1.14e-82	10.50	0.00e+00	0.71
chr20-7	chr20	54456526	54456826	+	292.3	0.908	142.000000	206.2	8.0	25.78	6.78e-207	23.58	0.00e+00	0.98
chr1-3	chr1	152392934	152393234	+	288.0	0.926	131.000000	203.2	4.0	50.80	4.75e-262	124.79	0.00e+00	1.05
chr5-2	chr5	178124268	178124568	+	276.3	0.878	151.000000	195.0	4.0	48.75	8.87e-247	41.05	0.00e+00	0.88
chr17-6	chr17	57849976	57850276	+	265.4	0.898	151.000000	187.3	3.0	62.44	5.88e-258	72.41	0.00e+00	0.86
chr20-6	chr20	47663799	47664099	+	263.9	0.830	151.000000	186.2	28.0	6.65	1.57e-86	11.20	0.00e+00	0.87
chr20-4	chr20	53725264	53725564	+	261.9	0.640	164.000000	184.8	49.0	3.77	3.17e-49	6.44	2.56e-300	0.78
chr20-9	chr20	53869787	53870087	+	244.5	0.864	132.000000	172.5	24.0	7.19	5.11e-85	8.82	0.00e+00	0.93
chr20-13	chr20	54085040	54085340	+	237.5	0.783	110.000000	167.6	11.0	15.23	9.72e-132	12.26	0.00e+00	1.07
chr3-3	chr3	64023347	64023647	+	231.2	0.737	157.000000	163.2	30.0	5.44	3.37e-64	15.35	0.00e+00	0.74
chr9-1	chr9	15510975	15511275	+	229.3	0.933	121.000000	161.8	0.5	323.61	0.00e+00	119.98	0.00e+00	0.95
chr20-10	chr20	47455219	47455519	+	229.3	0.780	130.000000	161.8	14.0	11.56	4.03e-109	7.31	4.93e-291	0.89
chr17-5	chr17	60392213	60392513	+	225.8	0.670	169.000000	159.3	18.0	8.85	2.26e-91	11.50	0.00e+00	0.68
chr14-1	chr14	91127479	91127779	+	221.1	0.905	134.000000	156.0	3.0	52.02	1.83e-203	42.89	0.00e+00	0.86
chr6-1	chr6	27241468	27241768	+	218.8	0.977	113.000000	154.4	0.5	308.80	8.60e-319	134.84	0.00e+00	0.98
chr15-3	chr15	70892370	70892670	+	216.9	0.895	119.000000	153.0	2.0	76.51	7.80e-225	144.34	0.00e+00	0.93
chr8-3	chr8	127668864	127669164	+	214.9	0.712	120.000000	151.7	1.0	151.66	4.29e-266	25.54	0.00e+00	0.93
chr20-11	chr20	54649435	54649735	+	212.6	0.860	117.000000	150.0	15.0	10.00	1.54e-93	12.47	0.00e+00	0.95
chr3-4	chr3	193872402	193872702	+	212.2	0.928	118.000000	149.7	0.5	299.47	2.23e-306	48.90	0.00e+00	0.93
chr17-9	chr17	61723272	61723572	+	209.1	0.781	107.000000	147.5	20.0	7.38	2.46e-74	10.06	0.00e+00	1.03
chr2-2	chr2	11539574	11539874	+	208.3	0.953	135.000000	147.0	1.0	147.00	3.15e-255	74.70	0.00e+00	0.82
chr12-1	chr12	66169847	66170147	+	203.6	0.849	135.000000	143.7	2.0	71.85	3.97e-206	56.29	0.00e+00	0.81
chr1-6	chr1	207321394	207321694	+	198.2	0.877	112.000000	139.9	1.0	139.86	3.85e-240	54.97	0.00e+00	0.91
chr20-8	chr20	50790728	50791028	+	192.8	0.778	139.000000	136.0	34.0	4.00	1.19e-39	5.66	2.12e-198	0.73
chr16-5	chr16	690299	690599	+	189.7	0.976	103.000000	133.8	4.0	33.46	1.51e-148	74.08	0.00e+00	0.97
chr3-5	chr3	37782600	37782900	+	188.5	0.866	104.000000	133.0	2.0	66.50	1.01e-187	124.46	0.00e+00	0.95
chr3-7	chr3	64331649	64331949	+	185.4	0.888	100.000000	130.8	11.0	11.89	6.78e-90	17.19	0.00e+00	1.00
chr18-1	chr18	499481	499781	+	185.0	0.889	99.000000	130.5	1.0	130.54	5.73e-221	81.87	0.00e+00	0.99
chr17-8	chr17	59846417	59846717	+	184.6	0.739	113.000000	130.3	11.0	11.84	6.78e-90	5.84	1.62e-195	0.87
chr20-12	chr20	45972160	45972460	+	182.7	0.889	111.000000	128.9	2.0	64.45	1.21e-178	32.61	0.00e+00	0.88
chr3-9	chr3	63940455	63940755	+	182.3	0.882	90.000000	128.6	1.0	128.62	9.61e-217	11.66	1.45e-316	1.06
chr14-2	chr14	67311916	67312216	+	181.5	0.873	112.000000	128.1	1.0	128.07	9.61e-217	101.34	0.00e+00	0.87
chr1-7	chr1	114757961	114758261	+	180.7	0.859	98.000000	127.5	5.0	25.50	1.37e-127	23.83	0.00e+00	1.01
chr9-2	chr9	92152037	92152337	+	177.2	0.938	95.000000	125.1	2.0	62.53	3.11e-173	55.22	0.00e+00	1.02
chr8-4	chr8	127800766	127801066	+	176.8	0.925	98.000000	124.8	3.0	41.59	4.93e-150	32.19	0.00e+00	0.96
chr16-4	chr16	71808817	71809117	+	176.8	0.888	105.000000	124.8	2.0	62.39	1.94e-171	49.70	0.00e+00	0.92
chr21-1	chr21	41783560	41783860	+	176.1	0.870	97.000000	124.2	2.0	62.12	1.94e-171	61.80	0.00e+00	0.97
chr12-2	chr12	131860843	131861143	+	172.9	0.898	109.000000	122.0	5.0	24.41	1.34e-120	31.97	0.00e+00	0.86
chr16-3	chr16	327316	327616	+	172.6	0.771	105.000000	121.8	3.0	40.59	3.40e-145	23.97	0.00e+00	0.92
chr1-4	chr1	234373384	234373684	+	169.8	0.863	118.000000	119.8	0.5	239.69	1.64e-233	88.87	0.00e+00	0.78
chr20-5	chr20	50731180	50731480	+	169.8	0.642	162.000000	119.8	33.0	3.63	5.81e-31	4.76	1.63e-148	0.57
chr20-14	chr20	48075926	48076226	+	169.1	0.775	104.000000	119.3	5.0	23.86	1.90e-116	13.70	1.07e-321	0.89
chr17-11	chr17	61416851	61417151	+	168.7	0.743	101.000000	119.0	30.0	3.97	1.34e-34	4.43	8.81e-137	0.89
chr17-7	chr17	50944499	50944799	+	167.5	0.851	124.000000	118.2	0.5	236.40	3.90e-231	32.56	0.00e+00	0.72
chr17-14	chr17	61467547	61467847	+	167.1	0.800	95.000000	117.9	21.0	5.62	1.16e-47	5.38	1.64e-164	0.97
chr20-15	chr20	54123707	54124007	+	167.1	0.807	101.000000	117.9	23.0	5.13	6.74e-44	8.36	1.95e-234	0.90
chr20-20	chr20	50434604	50434904	+	165.9	0.813	90.000000	117.1	2.0	58.55	5.76e-159	31.74	0.00e+00	1.01
chr10-1	chr10	5496607	5496907	+	164.4	0.865	110.000000	116.0	2.0	58.00	3.37e-157	37.68	0.00e+00	0.83
chr1-10	chr1	117268941	117269241	+	163.6	0.894	89.000000	115.5	1.0	115.46	1.27e-189	53.38	0.00e+00	0.99
chr5-3	chr5	178081568	178081868	+	163.2	0.789	112.000000	115.2	4.0	28.80	1.12e-121	6.96	3.67e-200	0.79
chr5-5	chr5	67206987	67207287	+	162.8	0.932	83.000000	114.9	1.0	114.91	1.46e-187	111.05	0.00e+00	1.05
chr18-2	chr18	3247556	3247856	+	162.8	0.782	96.000000	114.9	0.5	229.82	1.15e-221	34.13	0.00e+00	0.96
chr10-2	chr10	101353781	101354081	+	161.7	0.951	92.000000	114.1	4.0	28.52	3.22e-120	123.40	0.00e+00	0.94
chr17-22	chr17	59845689	59845989	+	161.3	0.862	78.000000	113.8	9.0	12.65	4.05e-81	4.97	1.86e-147	1.14
chr1-8	chr1	163321681	163321981	+	159.7	0.862	95.000000	112.7	5.0	22.54	6.88e-107	132.89	0.00e+00	0.91
chr1-5	chr1	35268617	35268917	+	158.2	0.930	112.000000	111.6	1.0	111.62	2.11e-181	175.46	0.00e+00	0.77
chr1-13	chr1	145708223	145708523	+	157.0	0.887	83.000000	110.8	4.0	27.70	2.02e-114	32.33	0.00e+00	1.04
chr17-13	chr17	59786541	59786841	+	156.2	0.813	98.000000	110.2	2.0	55.12	1.13e-146	25.64	0.00e+00	0.90
chr1-11	chr1	229221503	229221803	+	153.9	0.853	85.000000	108.6	0.5	217.20	1.41e-207	50.61	0.00e+00	1.00
chr20-16	chr20	44714667	44714967	+	153.5	0.846	97.000000	108.3	2.0	54.16	3.38e-143	45.78	0.00e+00	0.86
chr9-3	chr9	134412406	134412706	+	151.2	0.899	91.000000	106.7	2.0	53.34	9.76e-140	29.05	0.00e+00	0.91
chr16-8	chr16	85521014	85521314	+	150.8	0.749	94.000000	106.4	1.0	106.41	3.24e-171	17.74	0.00e+00	0.89
chr3-8	chr3	9362984	9363284	+	149.6	0.910	95.000000	105.6	1.0	105.58	3.43e-169	81.36	0.00e+00	0.85
chr17-10	chr17	59106668	59106968	+	149.2	0.550	105.000000	105.3	25.0	4.21	1.02e-32	6.97	2.94e-183	0.79
chr20-21	chr20	53908706	53909006	+	149.2	0.693	89.000000	105.3	67.0	1.57	1.07e-05	5.27	2.55e-144	0.92
chr14-3	chr14	69191370	69191670	+	148.1	0.928	92.000000	104.5	2.0	52.24	2.72e-136	68.44	0.00e+00	0.89
chr3-6	chr3	194003115	194003415	+	147.3	0.755	102.000000	103.9	2.0	51.97	1.41e-134	47.50	0.00e+00	0.79
chr20-17	chr20	54207650	54207950	+	146.9	0.693	97.000000	103.7	30.0	3.46	1.85e-25	8.37	1.60e-206	0.86
chr3-10	chr3	129485755	129486055	+	146.1	0.860	82.000000	103.1	1.0	103.12	3.75e-165	57.08	0.00e+00	1.00
chr1-12	chr1	157132120	157132420	+	144.2	0.884	84.000000	101.7	3.0	33.91	8.41e-114	62.48	0.00e+00	0.97
chr6-2	chr6	43635702	43636002	+	144.2	0.827	89.000000	101.7	0.5	203.49	2.54e-191	74.97	0.00e+00	0.89
chr6-3	chr6	43725207	43725507	+	142.6	0.762	82.000000	100.6	0.5	201.30	5.13e-189	41.78	0.00e+00	0.97
chr16-9	chr16	11612363	11612663	+	142.6	0.823	90.000000	100.6	1.0	100.65	3.98e-159	46.72	0.00e+00	0.87
chr3-11	chr3	195030869	195031169	+	141.9	0.921	77.000000	100.1	1.0	100.10	3.98e-159	41.26	0.00e+00	1.04
chr20-22	chr20	54067638	54067938	+	141.9	0.803	89.000000	100.1	14.0	7.15	4.24e-50	5.52	2.18e-143	0.88
chr7-1	chr7	103344707	103345007	+	141.1	0.943	82.000000	99.6	1.0	99.55	3.98e-157	50.81	0.00e+00	0.98
chr21-2	chr21	42376322	42376622	+	140.7	0.826	83.000000	99.3	3.0	33.09	9.45e-111	30.09	0.00e+00	0.96
chr14-6	chr14	96095857	96096157	+	140.3	0.896	72.000000	99.0	1.0	99.00	3.98e-157	39.70	0.00e+00	1.10
chr8-8	chr8	115939121	115939421	+	139.9	0.883	75.000000	98.7	0.5	197.46	2.03e-184	82.55	0.00e+00	1.03
chr11-1	chr11	78156410	78156710	+	139.9	0.865	77.000000	98.7	0.5	197.46	2.03e-184	60.62	0.00e+00	1.00
chr20-27	chr20	47360800	47361100	+	139.9	0.721	80.000000	98.7	17.0	5.81	2.03e-41	3.22	2.45e-77	0.97
chr20-18	chr20	63658196	63658496	+	139.1	0.790	96.000000	98.2	2.0	49.09	4.64e-126	18.94	1.89e-312	0.84
chr9-4	chr9	114908241	114908541	+	138.7	0.938	90.000000	97.9	2.0	48.95	2.28e-124	73.52	0.00e+00	0.90
chr20-23	chr20	57326795	57327095	+	138.4	0.904	88.000000	97.6	6.0	16.27	8.30e-80	29.90	0.00e+00	0.87
chr8-5	chr8	124474570	124474870	+	137.6	0.939	90.000000	97.1	4.0	24.27	4.98e-96	27.65	0.00e+00	0.86
chr20-32	chr20	50732091	50732391	+	136.8	0.782	77.000000	96.5	20.0	4.83	2.07e-34	3.74	8.20e-92	1.00
chr20-31	chr20	57435691	57435991	+	136.4	0.784	78.000000	96.3	4.0	24.06	1.21e-94	18.42	2.34e-302	0.99
chr17-12	chr17	61412404	61412704	+	135.2	0.570	99.000000	95.4	44.0	2.17	1.85e-11	2.32	2.18e-43	0.75
chr17-18	chr17	58518144	58518444	+	134.5	0.886	80.000000	94.9	1.0	94.89	3.42e-147	25.78	0.00e+00	0.94
chr19-1	chr19	35757822	35758122	+	134.1	0.794	91.000000	94.6	2.0	47.31	2.52e-119	46.10	0.00e+00	0.82
chr1-18	chr1	24203451	24203751	+	133.3	0.925	68.000000	94.1	0.5	188.13	2.82e-175	80.95	0.00e+00	1.08
chr9-7	chr9	129777221	129777521	+	131.7	0.898	74.000000	93.0	1.0	92.97	2.99e-143	26.10	0.00e+00	0.99
chr9-6	chr9	128298980	128299280	+	131.4	0.738	75.000000	92.7	2.0	46.35	5.51e-116	24.78	0.00e+00	0.98
chr16-10	chr16	25258111	25258411	+	129.8	0.774	82.000000	91.6	5.0	18.32	2.13e-79	36.48	0.00e+00	0.88
chr17-26	chr17	60037094	60037394	+	129.8	0.818	76.000000	91.6	16.0	5.72	3.78e-38	14.23	1.19e-252	1.01
chr20-36	chr20	56735287	56735587	+	129.8	0.856	76.000000	91.6	2.0	45.80	2.53e-114	33.54	0.00e+00	0.96
chr16-6	chr16	10944280	10944580	+	129.4	0.866	103.000000	91.3	5.0	18.26	2.13e-79	35.42	0.00e+00	0.71
chr12-3	chr12	106178686	106178986	+	129.0	0.915	75.000000	91.0	1.0	91.05	2.75e-141	83.21	0.00e+00	0.97
chr20-29	chr20	50764046	50764346	+	129.0	0.612	78.000000	91.0	11.0	8.28	8.20e-51	4.21	1.14e-99	0.91
chr3-17	chr3	10594956	10595256	+	128.3	0.930	66.000000	90.5	1.0	90.50	2.50e-139	74.62	0.00e+00	1.09
chr16-15	chr16	85472070	85472370	+	128.3	0.844	70.000000	90.5	0.5	181.00	3.30e-166	22.75	3.73e-313	1.03
chr3-14	chr3	189324757	189325057	+	127.5	0.899	69.000000	90.0	1.0	89.95	2.25e-137	87.65	0.00e+00	1.03
chr20-40	chr20	50713780	50714080	+	127.5	0.814	72.000000	90.0	15.0	6.00	1.04e-38	4.87	1.25e-114	0.98
chr20-53	chr20	48864810	48865110	+	126.7	0.851	65.000000	89.4	6.0	14.90	2.90e-70	12.10	1.79e-225	1.12
chr5-4	chr5	96935065	96935365	+	126.3	0.800	101.000000	89.1	3.0	29.71	9.08e-96	29.60	0.00e+00	0.71
chr2-5	chr2	64866854	64867154	+	125.1	0.973	74.000000	88.3	0.5	176.61	1.06e-161	71.80	0.00e+00	0.94
chr20-24	chr20	53661829	53662129	+	124.4	0.775	82.000000	87.8	43.0	2.04	2.51e-09	3.54	3.70e-78	0.86
chr2-3	chr2	208265838	208266138	+	124.0	0.882	80.000000	87.5	1.0	87.48	1.77e-133	57.62	0.00e+00	0.88
chr17-30	chr17	76252118	76252418	+	124.0	0.891	68.000000	87.5	0.5	174.97	1.86e-159	67.41	0.00e+00	1.01
chr20-33	chr20	47196385	47196685	+	124.0	0.750	76.000000	87.5	14.0	6.25	2.42e-39	4.49	1.30e-102	0.94
chr17-19	chr17	61235908	61236208	+	123.2	0.844	80.000000	86.9	9.0	9.66	6.60e-53	3.02	2.81e-62	0.89
chr20-35	chr20	53786095	53786395	+	123.2	0.631	76.000000	86.9	31.0	2.80	3.98e-16	3.09	1.71e-64	0.92
chr8-6	chr8	89984432	89984732	+	122.8	0.785	87.000000	86.7	4.0	21.67	4.74e-81	29.96	0.00e+00	0.81
chr2-6	chr2	11532356	11532656	+	122.4	0.845	65.000000	86.4	0.5	172.77	3.24e-157	15.69	6.53e-251	1.06
chr16-14	chr16	85466036	85466336	+	122.4	0.914	70.000000	86.4	1.0	86.39	1.54e-131	19.29	1.61e-277	0.99
chr20-39	chr20	50440837	50441137	+	122.4	0.864	72.000000	86.4	2.0	43.19	4.42e-106	34.29	0.00e+00	0.96
chr14-7	chr14	65356521	65356821	+	121.6	0.833	70.000000	85.8	1.0	85.84	1.32e-129	36.27	0.00e+00	0.97
chr14-4	chr14	92039978	92040278	+	121.6	0.853	82.000000	85.8	2.0	42.92	1.90e-104	55.30	0.00e+00	0.85
chr1-14	chr1	109240149	109240449	+	121.3	0.895	77.000000	85.6	1.0	85.56	1.32e-129	32.44	0.00e+00	0.88
chr1-19	chr1	7447840	7448140	+	120.9	0.918	67.000000	85.3	0.5	170.58	5.57e-155	71.83	0.00e+00	1.03
chr20-47	chr20	54195367	54195667	+	118.9	0.782	70.000000	83.9	15.0	5.59	3.89e-34	6.80	1.07e-143	0.99
chr17-15	chr17	61863326	61863626	+	118.5	0.697	92.000000	83.6	47.0	1.78	1.33e-06	6.12	1.85e-131	0.76
chr2-4	chr2	11530967	11531267	+	118.1	0.850	77.000000	83.4	1.0	83.37	9.44e-126	15.10	1.87e-237	0.89
chr17-25	chr17	58692426	58692726	+	118.1	0.776	76.000000	83.4	20.0	4.17	6.62e-26	8.69	5.91e-171	0.89
chr6-4	chr6	17389355	17389655	+	117.8	0.855	72.000000	83.1	0.5	166.19	1.59e-150	43.16	0.00e+00	0.95
chr20-87	chr20	63114739	63115039	+	117.8	0.916	57.000000	83.1	2.0	41.55	3.40e-101	28.23	5.31e-315	1.15
chr1-16	chr1	113812401	113812701	+	117.4	0.638	71.000000	82.8	5.0	16.56	3.12e-68	17.75	7.38e-256	0.95
chr5-6	chr5	176448180	176448480	+	117.4	0.822	81.000000	82.8	0.5	165.64	2.64e-148	37.13	0.00e+00	0.83
chr17-34	chr17	10119790	10120090	+	117.4	0.964	66.000000	82.8	1.0	82.82	7.83e-124	150.23	0.00e+00	1.01
chr20-38	chr20	47357471	47357771	+	117.4	0.650	73.000000	82.8	27.0	3.07	1.38e-17	2.83	1.08e-53	0.91
chr20-30	chr20	54070583	54070883	+	117.4	0.651	78.000000	82.8	8.0	10.35	8.83e-53	4.70	5.16e-102	0.89
chr17-23	chr17	63842607	63842907	+	117.0	0.835	77.000000	82.5	3.0	27.52	1.45e-85	26.66	9.88e-306	0.88
chr21-3	chr21	15210270	15210570	+	117.0	0.853	67.000000	82.5	4.0	20.64	9.47e-76	63.61	0.00e+00	1.01
chr7-5	chr7	72326413	72326713	+	116.6	0.955	62.000000	82.3	0.5	164.55	2.64e-148	59.88	0.00e+00	1.08
chr1-22	chr1	114780597	114780897	+	115.8	0.722	66.000000	81.7	9.0	9.08	4.70e-48	27.53	1.09e-306	1.01
chr15-4	chr15	72231198	72231498	+	115.8	0.832	99.000000	81.7	3.0	27.24	3.95e-84	24.64	6.70e-293	0.67
chr20-43	chr20	50423184	50423484	+	115.8	0.851	71.000000	81.7	5.0	16.34	5.12e-67	25.90	4.30e-299	0.93
chr20-26	chr20	57695025	57695325	+	115.8	0.895	82.000000	81.7	3.0	27.24	3.95e-84	12.32	1.99e-208	0.79
chr12-4	chr12	109052393	109052693	+	115.0	0.912	67.000000	81.2	9.0	9.02	4.70e-48	78.45	0.00e+00	0.98
chr8-10	chr8	143936534	143936834	+	114.6	0.830	72.000000	80.9	1.0	80.90	5.20e-120	19.71	1.23e-262	0.93
chr14-15	chr14	54312196	54312496	+	113.9	0.960	57.000000	80.4	1.0	80.35	5.20e-120	104.11	0.00e+00	1.17
chr15-7	chr15	80743255	80743555	+	113.5	0.928	70.000000	80.1	2.0	40.04	2.34e-96	51.59	0.00e+00	0.92
chr20-37	chr20	47204375	47204675	+	113.1	0.807	74.000000	79.8	14.0	5.70	3.94e-33	3.79	1.60e-77	0.87
chr1-9	chr1	151909504	151909804	+	112.7	0.835	93.000000	79.5	1.0	79.53	4.16e-118	41.67	0.00e+00	0.69
chr9-12	chr9	83041776	83042076	+	112.7	0.917	62.000000	79.5	4.0	19.88	7.87e-72	75.01	0.00e+00	1.06
chr9-11	chr9	127561852	127562152	+	112.3	0.874	68.000000	79.3	4.0	19.81	7.87e-72	31.68	1.67e-314	0.95
chr3-13	chr3	107999515	107999815	+	111.9	0.873	69.000000	79.0	2.0	39.49	3.71e-93	50.89	0.00e+00	0.92
chr17-37	chr17	61555299	61555599	+	111.9	0.753	63.000000	79.0	22.0	3.59	1.74e-20	4.84	3.34e-100	1.06
chr20-52	chr20	53738547	53738847	+	111.9	0.755	66.000000	79.0	23.0	3.43	2.09e-19	3.24	9.87e-63	1.01
chr20-76	chr20	60053272	60053572	+	111.9	0.906	59.000000	79.0	0.5	157.96	1.77e-139	24.06	2.78e-280	1.13
chr7-3	chr7	47576024	47576324	+	111.5	0.912	73.000000	78.7	1.0	78.71	3.29e-116	37.88	0.00e+00	0.91
chr3-24	chr3	64104793	64105093	+	111.2	0.760	57.000000	78.4	6.0	13.07	1.18e-57	7.12	2.13e-139	1.10
chr8-15	chr8	128141932	128142232	+	111.2	0.801	58.000000	78.4	6.0	13.07	1.18e-57	39.69	0.00e+00	1.08
chr20-19	chr20	53866073	53866373	+	111.2	0.641	91.000000	78.4	18.0	4.36	1.42e-25	3.33	1.39e-64	0.76
chr20-63	chr20	47453472	47453772	+	110.8	0.714	61.000000	78.2	12.0	6.51	9.59e-37	3.19	9.26e-61	1.03
chr20-56	chr20	50724854	50725154	+	110.8	0.764	64.000000	78.2	21.0	3.72	1.24e-21	4.05	3.08e-82	1.06
chr17-16	chr17	19648899	19649199	+	110.4	0.887	86.000000	77.9	1.0	77.89	2.57e-114	69.57	0.00e+00	0.76
chr14-12	chr14	91149519	91149819	+	109.6	0.892	60.000000	77.3	5.0	15.47	3.28e-62	52.71	0.00e+00	1.06
chr17-21	chr17	60135650	60135950	+	108.4	0.768	79.000000	76.5	17.0	4.50	9.20e-26	4.63	7.29e-93	0.79
chr20-50	chr20	53915782	53916082	+	108.4	0.738	68.000000	76.5	28.0	2.73	5.53e-14	3.90	6.49e-77	0.95
chr20-66	chr20	60062906	60063206	+	108.4	0.780	61.000000	76.5	2.0	38.26	5.57e-90	18.99	2.96e-244	1.02
chr1-23	chr1	202106371	202106671	+	108.0	0.907	66.000000	76.2	1.0	76.24	1.98e-112	13.87	8.55e-208	0.92
chr16-16	chr16	88927114	88927414	+	108.0	0.806	69.000000	76.2	2.0	38.12	5.57e-90	7.43	6.45e-140	0.91
chr17-31	chr17	78421551	78421851	+	108.0	0.867	68.000000	76.2	2.0	38.12	5.57e-90	37.45	2.96e-322	0.95
chr20-48	chr20	47384017	47384317	+	108.0	0.717	68.000000	76.2	21.0	3.63	1.70e-20	3.85	1.49e-75	0.95
chr20-85	chr20	53708314	53708614	+	108.0	0.814	57.000000	76.2	28.0	2.72	5.53e-14	2.79	1.15e-48	1.07
chr7-6	chr7	155961887	155962187	+	107.7	0.907	57.000000	76.0	1.0	75.97	1.50e-110	66.84	0.00e+00	1.09
chr9-5	chr9	137513893	137514193	+	107.7	0.813	81.000000	76.0	1.0	75.97	1.50e-110	25.02	3.75e-274	0.76
chr20-46	chr20	53839502	53839802	+	107.7	0.611	70.000000	76.0	32.0	2.37	6.74e-11	3.55	2.64e-68	0.88
chr3-15	chr3	63937988	63938288	+	107.3	0.733	68.000000	75.7	4.0	18.92	1.11e-66	6.23	5.93e-121	0.90
chr6-5	chr6	30742855	30743155	+	107.3	0.936	67.000000	75.7	1.0	75.69	1.50e-110	28.60	1.27e-288	0.92
